fertility,fertTotal,infantMort,catholic,single24,single49,eAgric,eIndustry,eCommerce,eTransport,eAdmin,german,french,italian
48,22.4,16.4,7.74,80.5,16.2,60.9,31.5,3.4,1.9,2.1,99.63,0.26,0.1
62.5,29.2,16.3,6.68,85,19.3,66.7,26,1.8,2.3,3,99.71,0.13,0.05
65.5,30.3,20.2,2.78,83.3,15.1,57.3,34.1,2.7,3.2,2.6,99.82,0.07,0.07
61.5,32.9,20.7,3.98,78,8.5,71.7,22.1,1.4,2.1,2.7,99.53,0.19,0.26
51.5,25.1,19.2,9.58,76.7,12.3,36,55.9,3,3.1,1.9,99.39,0.14,0.44
52.4,23.3,20,11.18,80.2,19.9,33.7,52.8,5.7,4.7,2.5,98.83,0.39,0.65
48.6,21.6,16.8,5.48,81.1,19.8,52.5,35.7,4.8,4,2.8,99.03,0.32,0.47
53.3,24.8,21.3,2.52,80.5,11.1,51.6,39.7,2.8,3.6,2.1,99.67,0.09,0.2
53,23.5,19.6,5.22,81.7,15.2,52.1,38.9,3.2,3.5,2.2,99.3,0.16,0.53
57,28,17.7,10.17,81.5,10.4,28.9,56.2,6.2,5.1,3.2,98.69,0.45,0.55
54.5,25.5,19.4,20.72,82.9,16.9,12.8,50.9,17.4,10.9,7.2,96.6,1.26,1.07
81.7,42.8,18.3,0.36,72.1,13.7,62.5,29.4,3,2,3,99.4,0.58,0.02
76.2,38.5,17.4,0.84,70.1,13.8,49.5,39.5,4.9,2.9,2.6,99.72,0.23,0.04
69.4,31.9,18.6,4.66,78.2,22.9,27.3,43.4,11.3,7.5,9.7,96.45,2.95,0.24
66,31.5,22,13.43,74.6,11,6.3,70.9,9.2,8,3.8,71.94,26.98,0.95
77.5,42.7,18,1.38,71.7,11,52.5,38.2,3.4,2.7,3,98.51,1.35,0.14
73.5,36.6,15.9,1.01,67.3,20,51.5,35.9,5.6,3.7,2.8,99.5,0.4,0.05
80.2,41.8,22.2,9.96,68.5,9.6,21.7,67.7,4.1,3,2.4,28.41,70.72,0.83
83.1,38.5,22.2,84.84,76.7,18.6,51.1,30.6,4.5,6.6,3.7,25.17,74.36,0.42
79.1,41.8,18.5,0.9,72.8,8.4,74.6,18.4,1.8,1.4,3.5,98.24,1.59,0.15
92.5,41.9,20.2,93.4,77.1,17.2,43.8,46.7,3.6,1.9,2.7,5.46,94.29,0.25
76.7,39.3,18.7,0.62,71.5,16.7,61.1,31,2.3,2.4,2.8,99.77,0.21,0.01
84,38.9,14.8,0.16,70.9,14.9,70.2,20.2,3,3.4,3,99.84,0.15,0.01
74.9,36,16.1,1.25,73.8,12.4,52.5,22.2,5.3,7,11.9,99.44,0.27,0.16
77.1,37.6,15.1,0.19,72.4,16.2,63.9,28.4,3.6,1.7,2.2,99.75,0.25,0
77.4,30,21.9,92.43,86.8,17.6,46.6,40.4,4.7,3.7,4,98.06,1.7,0.22
75.8,39.3,18.1,0.59,72.1,14.1,68.6,25.5,2.3,1,2.3,99.27,0.69,0.03
85.8,40.2,20.3,33.77,75.7,13.2,41.6,49.8,2.5,3.1,2.7,38.09,61.04,0.8
76.9,35.1,20.6,5.16,73.3,6,49.9,38.7,3.8,2.9,3.9,25.73,72.79,1.1
77.7,45.2,18.1,2.93,59.2,10.8,47.5,39.8,2.8,7.2,2.4,93.92,5.82,0.25
72.8,30,12.4,1.15,83.9,18.4,63.2,18.3,2.8,4.3,11,99.53,0.21,0.25
76.1,37.9,26.6,90.57,72.5,16.7,40.7,46.5,4.6,3.4,3.9,7.09,92.34,0.52
72.1,37.7,15.7,0.31,67.6,5.9,73.6,17.8,2,3.1,2.9,99.27,0.73,0
86.7,45.7,16.2,0.15,64.9,14.4,74,20.3,2.9,0.8,2,99.95,0.05,0
80.8,40.3,16.3,0.19,74.5,22,71.3,22.9,2.4,1.2,2.1,99.73,0.24,0.03
81,41.3,15.8,0.19,68.5,15.9,65.2,26.1,4.2,1.7,2.3,99.8,0.16,0.03
76.8,33,13.4,0.2,84.6,17.4,69.7,21.7,3.2,2.5,2.9,99.61,0.29,0
74.6,35.1,13.2,0.45,72.6,14.8,73,18.1,3.1,2.5,3.2,99.67,0.29,0.04
79.1,37.1,15.8,1.28,75.3,17.3,51.8,33.7,4.5,4.7,4.7,99.06,0.51,0.31
77.6,38.7,16.2,0.2,70.5,16.9,60.8,33,2.6,1.3,2.1,99.87,0.12,0.01
76.4,39.5,16.8,0.87,67.5,16.5,55.2,35,4.2,2.7,2.8,99.52,0.45,0.02
86,34.9,16.4,96.07,81.7,25.1,77,15.1,3.2,1.8,2.6,99.78,0.12,0.1
67,27.4,15.6,98.56,87.3,19.7,68.6,23.3,3.4,0.2,2.6,99.81,0.06,0.12
57.4,24.4,16.7,90.91,80.7,21.5,33.5,38.8,9.9,11.6,5.4,97.88,0.84,1.03
67.9,26.9,16.4,97.71,83.6,24,69.5,22.2,3.2,1.6,3.2,99.9,0.03,0.04
77.5,32.2,17.3,91.54,82,23.3,73.9,19.2,2.8,1.2,2.8,99.81,0.13,0.04
92.8,35.3,19,97.83,84,28.3,64,14.9,5.1,11.8,2.9,98.71,0.12,1.07
69,28.6,17.9,99.25,81.9,17.8,42,38.2,8.2,4.5,4.7,98.99,0.46,0.39
78.6,32.8,18.2,97.83,75.3,22.8,43.8,33.9,9.6,5.6,3.2,98.65,0.76,0.43
65.9,29.2,23.1,94.78,81.2,16.2,59.7,27.8,4.8,5.1,1.8,99.13,0.02,0.66
63.2,29.7,14.1,98.19,78.1,18.1,57.5,32.9,4.4,3,1.7,99.86,0.1,0.03
69.9,31.8,20.6,96.91,76.7,14.6,60.6,27.5,4.4,4.5,2.1,99.35,0.05,0.51
74.4,30.5,16.3,98.7,80.2,23.2,60.6,23.9,5.4,5.9,3.8,98.35,0.44,1.05
76.1,29.3,12.7,97.76,85.3,25.3,66.7,18.8,2.9,8.5,3,97.73,0.2,1.99
76.3,32.6,15.1,99.09,78.1,24.7,53.1,27,5.9,10.7,3,96.63,0.11,3.21
48.6,24.2,18.8,23.07,67.6,13.7,28.2,58.3,5.2,4.6,3.5,98.92,0.15,0.61
62.5,25.1,17.1,93.91,81.8,19.7,47.3,39.6,4.6,4.6,3.4,98.78,0.54,0.52
83.8,41.4,23.6,92.85,75.7,21.8,75.2,16.6,2.3,2.4,3.1,6.59,93.25,0.15
92.4,39,24.9,97.16,82.2,25.8,73.2,17.8,2.9,2.7,2.9,2.95,96.8,0.24
82.4,36.2,21,97.67,77.8,26.7,64.6,22.6,4.2,3.3,3.5,6.92,92.45,0.61
82.9,33.3,24.4,91.38,79.6,26.5,51.9,28.4,5.5,6.3,6.6,22.68,76.89,0.36
82.6,40.7,22.2,25.77,77,18.8,79.8,15.7,1.1,1.7,1.7,70.74,29.1,0.07
97,40.2,18.9,81.51,78.4,28,68.9,23.5,2.8,1.4,3,95.54,4.41,0.03
87.1,36.9,24.5,98.61,77.6,23,73.9,19.9,1.9,1.5,2.5,1.3,98.23,0.46
84.1,37.3,20.2,90.47,79.7,11,50.4,41.2,3.1,2.5,2.5,99.29,0.68,0.02
80.5,39.6,19.9,44.03,74.1,13.2,46.3,46,2.3,3.1,2.2,99.18,0.71,0.1
80.9,34.2,21.2,95.83,84.3,18.3,62.6,30,2.5,1.4,3.1,99.46,0.52,0.02
72.6,31.6,17.2,82.2,83.6,14.1,33.8,40.8,3.3,18.5,2.9,99.5,0.32,0.16
74.5,33.2,18.9,68.94,76.8,19.1,24.3,59,6.8,3.5,6.1,95.19,4.16,0.41
58.7,23.9,19.7,30.53,84.1,23.3,40.3,37.6,4.9,11.4,5.6,96.36,2.86,0.44
64.4,29.7,21.8,20.81,71.8,12.5,4,54,19.8,13,8.1,97.66,1.09,1.04
78.7,38.4,24.7,48.28,75.8,12.2,32.5,47.2,6.2,10.1,2.7,98.79,0.87,0.32
79.9,32.2,20.9,9.23,83.1,21.4,39.6,46.5,5.3,3.7,4,99.38,0.38,0.18
78,33.6,18.4,4.81,79,14.5,49.3,43.3,2.3,2.5,2.2,99.66,0.24,0.08
79.6,34.7,20.1,2.4,85,11,46.4,47.9,1.3,2,2.1,99.75,0.19,0.05
70.8,36.8,18.2,3.09,77.7,19.1,67.1,24.3,2.5,2.3,3.6,99.86,0.11,0
66.5,34.7,18,3.22,79.9,16.4,68.3,23.2,2.5,1.8,4.2,99.77,0.16,0.05
70.5,35.5,18.1,3.09,79.7,16.7,69,22.2,2,2.2,4.4,99.95,0.05,0
65.4,29.8,19.5,18.16,80.3,15.4,25.1,54.5,7.6,5.3,6.4,98.95,0.59,0.24
70.1,36.8,18.8,3.09,79.8,23,60.2,26.3,2.3,8.3,2.9,98.96,0.22,0.77
61.4,27.6,17.6,28.29,80.5,24.1,44.2,44.5,4.3,2.5,4.4,99.39,0.51,0.06
62.8,35.5,24.5,9.56,67.8,13,27.7,60.7,5.3,3.1,2.6,99.18,0.21,0.51
60.6,32.1,22.4,7.01,73.5,15.6,30.1,57.2,4.9,4,2.9,99.31,0.09,0.56
70.5,37.5,23.3,7.28,71.9,11.9,26.1,64.6,4.5,2.2,2,99.64,0.04,0.24
70.7,37.5,27,94.76,64.4,18.3,55,32.9,6.2,2.4,2.3,99.7,0.06,0.22
71.7,30,16.4,97.3,80.7,16.6,59.6,28.4,3.9,4.9,2.6,99.65,0,0.08
69.1,32.7,25.3,75.65,78.5,11.7,31.8,53.8,5.6,5.8,2.1,99.12,0.13,0.62
69.5,31.7,24,67.92,80.4,18.6,51.3,39.8,3.8,2.3,2.4,99.49,0.1,0.31
73.8,33.9,23.5,44.55,84.9,12.3,44.9,45.2,2.9,3.8,3.1,99.59,0.12,0.17
67.9,30.9,20.3,76.12,80,21,30.2,47.2,7.5,10.5,3.5,97.99,0.39,1.21
53.8,22.5,22.8,41.55,83.9,22.9,1.9,55.8,24.9,8.7,6.6,97.41,0.76,0.98
64.2,27.9,17.7,90.82,78.6,23.9,51.9,36.9,2.9,4.6,3.3,97.6,0.15,1.58
63,27.7,19.7,86.6,78.6,19.4,44.8,38.7,5.3,6.7,2.9,99.14,0.22,0.46
65,32.1,26.3,70.81,79.8,15.3,27.5,51.8,9.4,5.3,3.6,97.64,0.13,1.95
74.8,32.9,19.7,84.86,84.9,18.8,42.4,51.5,2.1,1.9,1.8,99.85,0.03,0.1
56.6,28.7,19.4,26.08,73.5,11.8,34.9,53,5.3,2.5,2.8,99.42,0.18,0.26
59.1,30.1,17,24.01,73.5,10.8,43.5,47.5,2.9,2.6,2.5,99.62,0.04,0.3
56.1,28.9,20.5,41.91,79.4,12.4,26.5,65.5,3,2.5,2,99.59,0.09,0.22
67.8,32.8,14.9,14.64,69.4,23.3,53.3,37.7,2.3,4.1,2.2,99.32,0.11,0.31
73.4,29.9,20.6,87.22,85.1,18.8,41.4,47,5.4,2.8,3.1,99.56,0.07,0.29
75.4,29.7,16.1,79.53,88.6,29,66.8,16.6,4.7,6.8,3.9,14.7,0.02,1.98
78.1,28,16.3,79.08,89.5,24.1,64.9,21.5,5.5,3.1,4.4,1.63,0.15,96.57
75.1,27.5,17.3,69.67,88.1,27.2,74.6,14.6,3.8,2.3,3.7,25.83,0.16,0.46
64.2,25.5,15.7,27.12,83.9,23.2,63.7,21.7,4.1,5.7,3.2,58.02,0.05,1.17
61.7,24.9,14.4,6.52,84.2,9,72.2,11,3.2,5.6,4.2,50.04,0,1.59
73.1,32.2,17.9,51.98,85,20.4,59.3,27.2,5.4,2.9,3.2,29.99,0.08,0.42
65.5,31,17,20.12,77.7,17.1,64,19.3,5.2,4.6,4.1,14.72,0.06,2.68
62.3,25.6,14,13.48,83.2,22.4,49,20.8,8.1,17.1,4.3,89.53,0.42,4.78
60.9,28.3,15.9,26.84,78.3,17,57.6,18.6,2.7,17,2.6,93.65,0.22,4.77
69.4,26,15.3,17.84,84.4,27.8,38,29.5,16.5,9.2,5.9,22.19,0.29,33.96
66.3,22.3,18.8,99.52,87.1,31.9,62.3,23.1,5.8,4.4,4,1.18,0.13,98.03
64.6,31.9,12,51.14,71.7,15.2,73.6,15.4,2.3,2.8,5.3,19.93,0.07,1.81
58.8,23.4,16.9,26.15,86.8,21.3,32.9,33.7,10.8,12.1,7.9,86.85,0.33,2.19
85.9,31.4,14.4,99.83,88.2,30.1,72,17.9,3.3,2,3.9,1.5,0.09,0.33
73.9,30.7,15.3,7.57,82.3,18.6,33.8,47.8,5.9,5.3,6.6,99.32,0.46,0.12
72.2,30.1,20.5,78.36,83.7,16.6,48.2,39.8,4.7,3.2,3.7,99.67,0.16,0.09
68.5,25.5,18.2,94.67,90.6,20.8,57.1,33.7,3.7,2.2,2.9,99.78,0.1,0.09
63.7,28,16.3,5.01,87.7,16,60.5,29,2.6,3.7,4.1,99.42,0.44,0.05
73.8,30.9,15.8,2.02,80.8,24.4,47.3,44.8,2.6,1.8,2.9,99.85,0.13,0.02
64.1,26.1,18.3,96.82,85.9,13.2,64.4,28.4,2.4,2,2.7,99.83,0.09,0.04
70.4,28.7,16.6,3.16,85.3,18.9,45.5,43.4,4.1,3.3,3.3,99.73,0.2,0.05
74.1,29.7,18.3,97.54,87.1,23.4,69.2,22.4,2.6,2.2,3.4,99.87,0.05,0.06
65.8,31.1,21.2,88.47,84.8,13.7,60.6,29.6,2.9,2.9,3.2,99.56,0.23,0.15
76.6,30.5,16,2.88,82.6,19.3,40.8,46.9,4.2,4.6,3.3,99.37,0.47,0.11
69.5,31.7,18.1,80.08,86.8,15.7,61.8,26.9,4.4,2.9,3.6,99.76,0.07,0.17
61.3,30.8,18.7,25.89,81.3,11.2,34.3,44.6,5.5,12.2,2.8,99.36,0.21,0.28
65,28.7,19.3,23.15,84.3,12.7,38.7,50.6,4.4,3.2,2.7,99.28,0.24,0.35
58.8,26.1,16,25.81,84.4,22,57.6,31.2,3.9,0.9,6.1,99.65,0.29,0
56.2,26.3,16.2,25.54,83.3,13.3,43.8,43.8,3.5,3.8,4.2,99.4,0.12,0.32
59.2,28.2,19.7,24.68,81.6,11.8,44.4,42.2,5.4,3.4,4,99.31,0.25,0.16
68,28.9,17.2,53.72,81.2,16.7,48.8,44.7,1.6,1.9,2.7,99.35,0.15,0.44
66.4,33,18.4,34.25,80.2,12.8,55.7,36.2,2.3,2,3,99.67,0.17,0.1
59.4,28.9,17,16.19,80.4,9.7,45.6,47.7,2.8,1.7,1.7,99.6,0.13,0.2
71.3,33.9,19.5,97.77,72.9,19.8,51.5,19,6.6,17.4,4.1,3.5,0.17,96.17
72.1,24.8,16.9,99.86,78.7,38.4,72.1,13.8,6.4,1.8,4.6,0.11,0.1,99.69
72.1,29.4,19.2,99.04,77.1,33.5,53,15.5,4.4,22.6,3.2,1.69,0.21,97.98
71,25.1,21.2,99.45,84.8,31.8,45.3,36.9,6.8,4.7,4.7,0.58,0.11,99.24
70.3,29.2,21.6,98.72,80.2,20.4,26.5,55,7.4,4.7,5.3,1.05,0.29,98.48
71.8,34.7,22.5,99.23,73.3,13.5,32,46.8,5.9,9,5.4,0.78,0.1,98.96
69.8,29.4,21.1,95.34,74.5,31.4,55.1,25.2,4,10.8,2.9,2.67,0.42,96.8
65.3,20,17.8,99.77,87.1,46.5,53.5,34.5,2.8,3,5,4.96,0.05,94.98
64.1,35.2,16.5,8.52,64.5,10.8,66.6,21.7,4,3.9,3.4,8.69,89.63,1.43
66.9,38.4,19.1,2.27,68.8,10.7,73.9,17.7,3.1,1.8,3.3,5.17,94.54,0.25
68.9,31.8,22.7,4.43,85.8,13.5,67,21.9,5.1,2.2,3.3,22.11,76.55,0.64
61.7,33.1,18.7,2.82,72.8,11.8,75.3,17.4,2.5,2,2.6,4.81,94.35,0.74
68.3,37.2,21.2,24.2,72.5,12.7,77.4,14.6,1.8,2.9,3,3.3,95.73,0.9
71.7,38.7,20,3.3,63.2,11.5,42.1,49.2,3,2.4,3,5.97,93.17,0.77
55.7,22.5,20.2,12.11,83.4,16.8,24.2,39.5,13.9,11.1,9.9,15,80.15,2.25
54.3,27.3,16.8,2.15,72.7,11.4,19.5,64.8,5.4,5.7,3,2.44,97.21,0.24
65.1,32.6,20,2.84,74.9,12.9,76.8,15,2.1,3,2.8,4.53,94.28,0.93
65.5,32,18,5.23,75.2,11.1,65.9,20.8,4.4,4.6,3.7,7.27,91.57,0.71
65,35.4,22.4,4.52,67.7,14.4,60.6,30.4,3,2.5,2.9,6.92,91.75,1.15
56.6,29.2,16.7,15.14,78.1,7,59.1,25.7,5.7,4.4,4.7,7.73,90.53,1.31
57.4,33.6,15.3,4.2,68.2,9.8,59.6,27.9,3.2,5.9,3.2,4.98,93.78,1.12
72.5,39.2,21,2.4,67.1,7.3,74.9,18,2.1,2.1,2.7,3.33,96.32,0.35
74.2,39,23.8,5.23,73.6,15.8,64.2,24,3.3,4.3,3.2,9.42,89.73,0.8
72,39.5,18,2.56,77.9,18.7,69.2,18.5,2.6,4.3,4.8,9.8,89.85,0.09
60.5,30.7,16.3,7.72,72.1,10,67.7,19.6,4.4,4.4,3.8,8.67,90.17,0.83
58.3,23.1,20.9,18.46,81.7,18.6,33.7,37,14.5,7,6,18.91,75.39,3.39
65.4,34.2,22.5,6.1,72.3,11.6,55.7,25.6,4.8,9.6,3.3,9.33,89.56,1.01
92.5,34,18.4,99.23,88.6,22.5,70.8,14.5,5.2,5,3.7,96.3,1.85,1.78
75.5,37.7,15.1,99.71,74.1,15.8,86.1,10.5,1,0.7,1.7,0.38,99.06,0.55
69.3,29,19.8,99.68,82.1,21.3,85.3,10.5,1.2,0.6,2.3,0.03,99.71,0.26
95.8,34.2,21.2,99.98,94.7,25.6,84.8,9.2,1.9,1.5,2.5,99.36,0.12,0.52
77.3,30.2,18.3,100,81.7,32.3,88.2,8.2,0.6,0.7,2.2,0.06,99.8,0.14
91.5,41.7,18.3,99.52,79,23.2,81.6,10.1,3.1,1.3,3.9,97.81,1.54,0.65
70.5,35,19.4,98.96,71.7,17.2,81,11.9,2.9,1.8,2.4,0.72,98.27,1.01
79.4,31.3,20.2,98.22,81.9,21.5,67.1,22.6,2.6,4.5,3,2.7,95.32,1.97
90.6,33.9,17.2,99.93,83.3,22.3,88.5,6.5,1.7,1,2.3,99.64,0.25,0.1
65,30.4,17.8,99.06,75,16.8,78.4,10.2,2.8,4.1,4.4,1.17,98.37,0.43
92.2,39.8,16.3,99.46,78.6,24.2,84.3,10.2,2,1.3,2.2,10.27,88.85,0.79
79.3,28,18.1,96.83,86.9,23.6,65.4,19.2,4.3,2.9,8,23.13,74.98,1.8
96,37.4,16.4,99.81,83.3,22.7,81.9,9.7,3.1,2.8,2.4,99.16,0.37,0.46
70.4,31.5,20.3,5.62,77.7,17.8,46.9,34.2,5.2,6.9,4.8,17.1,81.14,1.36
65.7,31.5,20.5,13.79,74.8,14.7,10.1,70.8,8,6.9,3.4,25.72,72.5,1.69
72.7,33.6,18.9,11.22,76.2,12.7,22.1,64,5.4,3.4,3.8,13.8,85.43,0.6
64.4,24.2,23,16.92,84.7,20.3,22.8,43.9,13.2,10.4,7.8,28.18,69.6,1.42
77.6,38.1,20,4.97,75.9,15,46.1,42.7,3.7,2.9,3.8,23.53,75.35,1.11
67.6,33.4,19.5,8.65,73.5,13.8,24.3,60.6,5.1,5.3,3.2,11.4,86.63,1.81
35,15.3,18,42.34,80.5,21,1.7,51.7,24.6,9.3,9.8,15.61,80.08,2.79
44.7,21.6,18.2,50.43,76.3,12.9,53.4,25.3,7.9,6.3,5.8,7.85,88.56,2.24
42.8,21.8,19.3,58.33,77.6,14.5,34.5,35.6,12.9,6.4,8.3,7.84,88.76,2.07
