"RaumSort","RaumLang","Bildungsstand","AntBev","untAntBevKI","obAntBevKI"
10,"Kreis 1","1",9.8,6.7,12.9
10,"Kreis 1","2",26.8,22.2,31.4
10,"Kreis 1","3",63.4,58.4,68.4
11,"Rathaus","1",9.9,5.9,13.9
11,"Rathaus","2",27.7,21.8,33.6
11,"Rathaus","3",62.3,55.9,68.7
12,"Hochschulen","1",10.6,0,21.4
12,"Hochschulen","2",34,17.8,50.2
12,"Hochschulen","3",55.4,38.6,72.2
13,"Lindenhof","1",4.8,0,9.9
13,"Lindenhof","2",23.5,13.1,33.8
13,"Lindenhof","3",71.7,60.8,82.7
14,"City","1",14.6,4.1,25.2
14,"City","2",22.2,9.7,34.7
14,"City","3",63.2,49.1,77.3
20,"Kreis 2","1",14.1,12.7,15.5
20,"Kreis 2","2",31.9,30.1,33.8
20,"Kreis 2","3",54,52,55.9
21,"Wollishofen","1",13.6,11.7,15.4
21,"Wollishofen","2",33.3,30.8,35.7
21,"Wollishofen","3",53.2,50.5,55.8
23,"Leimbach","1",22.1,18.1,26.2
23,"Leimbach","2",40.8,36.1,45.5
23,"Leimbach","3",37.1,32.4,41.7
24,"Enge","1",10.5,8.2,12.7
24,"Enge","2",24.4,21.3,27.5
24,"Enge","3",65.2,61.7,68.6
30,"Kreis 3","1",16.3,15.1,17.5
30,"Kreis 3","2",30.6,29.1,32.1
30,"Kreis 3","3",53.1,51.5,54.7
31,"Alt-Wiedikon","1",12.9,11.1,14.8
31,"Alt-Wiedikon","2",26.6,24.2,29
31,"Alt-Wiedikon","3",60.4,57.8,63.1
33,"Friesenberg","1",24.8,21.7,27.9
33,"Friesenberg","2",39.3,35.8,42.7
33,"Friesenberg","3",35.9,32.6,39.3
34,"Sihlfeld","1",15,13.2,16.7
34,"Sihlfeld","2",29.8,27.5,32
34,"Sihlfeld","3",55.3,52.8,57.7
40,"Kreis 4","1",18.1,16.4,19.9
40,"Kreis 4","2",28.8,26.8,30.8
40,"Kreis 4","3",53.1,50.9,55.2
41,"Werd","1",12.4,8.6,16.3
41,"Werd","2",25.2,20.3,30
41,"Werd","3",62.4,56.9,67.8
42,"Langstrasse","1",11.8,9.5,14
42,"Langstrasse","2",27.2,24.1,30.3
42,"Langstrasse","3",61.1,57.7,64.5
44,"Hard","1",25.5,22.6,28.3
44,"Hard","2",31.4,28.4,34.3
44,"Hard","3",43.2,40,46.4
50,"Kreis 5","1",11.4,9.5,13.3
50,"Kreis 5","2",26.2,23.6,28.8
50,"Kreis 5","3",62.4,59.5,65.2
51,"Gewerbeschule","1",15.9,13.1,18.7
51,"Gewerbeschule","2",29.6,26.1,33.1
51,"Gewerbeschule","3",54.5,50.7,58.3
52,"Escher Wyss","1",5,3,7
52,"Escher Wyss","2",21.2,17.5,25
52,"Escher Wyss","3",73.8,69.8,77.8
60,"Kreis 6","1",10.5,9.3,11.7
60,"Kreis 6","2",26.4,24.7,28.1
60,"Kreis 6","3",63.1,61.2,65
61,"Unterstrass","1",11.8,10.3,13.3
61,"Unterstrass","2",28.6,26.5,30.7
61,"Unterstrass","3",59.6,57.3,61.9
63,"Oberstrass","1",7.7,5.8,9.6
63,"Oberstrass","2",21.2,18.4,24.1
63,"Oberstrass","3",71.1,67.9,74.3
70,"Kreis 7","1",8.5,7.4,9.6
70,"Kreis 7","2",27.8,26.2,29.5
70,"Kreis 7","3",63.7,61.9,65.5
71,"Fluntern","1",5.6,3.7,7.5
71,"Fluntern","2",24.3,20.9,27.7
71,"Fluntern","3",70.1,66.5,73.8
72,"Hottingen","1",7.3,5.4,9.1
72,"Hottingen","2",25.2,22.2,28.1
72,"Hottingen","3",67.6,64.4,70.8
73,"Hirslanden","1",8.2,5.8,10.6
73,"Hirslanden","2",23.3,19.7,26.9
73,"Hirslanden","3",68.5,64.5,72.4
74,"Witikon","1",12.1,9.9,14.4
74,"Witikon","2",36,32.8,39.3
74,"Witikon","3",51.8,48.5,55.2
80,"Kreis 8","1",8.4,6.8,10
80,"Kreis 8","2",25.5,23.1,27.9
80,"Kreis 8","3",66.1,63.5,68.7
81,"Seefeld","1",6.5,3.9,9
81,"Seefeld","2",23.3,19,27.5
81,"Seefeld","3",70.3,65.7,74.9
82,"Mühlebach","1",7.6,5.2,10
82,"Mühlebach","2",25.3,21.5,29.1
82,"Mühlebach","3",67.1,62.9,71.2
83,"Weinegg","1",11.2,8,14.4
83,"Weinegg","2",27.8,23.4,32.2
83,"Weinegg","3",61,56.2,65.7
90,"Kreis 9","1",20.5,19.2,21.7
90,"Kreis 9","2",38.8,37.3,40.3
90,"Kreis 9","3",40.7,39.2,42.2
91,"Albisrieden","1",15.8,14,17.5
91,"Albisrieden","2",36.4,34.1,38.6
91,"Albisrieden","3",47.9,45.5,50.2
92,"Altstetten","1",23.6,21.9,25.3
92,"Altstetten","2",40.5,38.5,42.4
92,"Altstetten","3",35.9,34,37.8
100,"Kreis 10","1",12.4,11.2,13.6
100,"Kreis 10","2",34.1,32.4,35.8
100,"Kreis 10","3",53.5,51.8,55.3
101,"Höngg","1",12.5,11,14
101,"Höngg","2",36.9,34.7,39.1
101,"Höngg","3",50.6,48.3,52.9
102,"Wipkingen","1",12.2,10.2,14.1
102,"Wipkingen","2",30,27.4,32.6
102,"Wipkingen","3",57.9,55,60.7
110,"Kreis 11","1",20.4,19.3,21.5
110,"Kreis 11","2",35.7,34.4,36.9
110,"Kreis 11","3",43.9,42.6,45.2
111,"Affoltern","1",23.3,21.4,25.2
111,"Affoltern","2",40.1,37.9,42.3
111,"Affoltern","3",36.6,34.5,38.8
115,"Oerlikon","1",13.4,11.7,15.1
115,"Oerlikon","2",28.9,26.8,31.1
115,"Oerlikon","3",57.7,55.3,60
119,"Seebach","1",24,21.9,26
119,"Seebach","2",37.2,35,39.5
119,"Seebach","3",38.8,36.5,41.1
120,"Kreis 12","1",29.1,27.2,31
120,"Kreis 12","2",39.8,37.8,41.9
120,"Kreis 12","3",31,29.1,33
121,"Saatlen","1",30.2,26.5,33.9
121,"Saatlen","2",38.4,34.5,42.3
121,"Saatlen","3",31.4,27.7,35.1
122,"Schwamendingen-Mitte","1",29.2,25.9,32.5
122,"Schwamendingen-Mitte","2",36.3,32.9,39.7
122,"Schwamendingen-Mitte","3",34.5,31.1,37.9
123,"Hirzenbach","1",28.3,25.2,31.4
123,"Hirzenbach","2",44,40.6,47.4
123,"Hirzenbach","3",27.7,24.6,30.7
